"Produto recebido antes do prazo estabelecido e de acordo com o que foi solicitado."
"não recebi o produto "
"Minha compra foi de dois produtos. Tinha apenas um código de rastreio. Chegou apenas um."
"Comprei duas cortinas porém só veio uma cortina na nota consta duas gostaria de saber o que vai ser feito porque isso é falta de respeito com o consumidor que compra e quer recebe aguardo retorno"
"Comprei 2 mini bike e só recebi uma, aguardo retorno."
"Loja horrível, não entregou o meu produto até hoje. "
"Estou decepcionado com a stark, pois sempre tive ótimas recomendações e sempre confiei em seus serviços, diante a irresponsabilidade com o prazo de entrega do ultimo pedido estou muito chateado"
"Quero cancelar este pedido "
"Fiz a instalação como dizia no manual, porém o aparelho não funcionou."
"mandei por e-mail a informação de que recebi a voltagem errada e NINGUÉM ME DEU RETORNO. Inclusive enviei um numero de celular mas infelizmente a empresa não retornou."
"Recebi um produto divergente, como efeito a troca?"
"Mudo minha opinião assim que receber o produto.
Consta no site que o produto foi entregue, mas não recebi."
"Ate agora comprei o transformador de voltagem 9000 btu nao recebi liguei pra americana a atendente me falou q ia liga pra transportadora e mr retorno em dois dias ja se passaram o prazo ."
"Passou do prazo."
"Não fiquei satisfeita; propaganda enganosa pois, disseram que era luminoso e na verdade NÃO É.E agora? Eu preciso que seja luminoso à noite lógico para aplicação de remédios tipo insulina,Vainia Lúcia"
"Estou decepcionada, fiz o pedido de uma progressiva Vip e no lugar veio uma maquina de cortar cabelo."
"AIND ANÃO RECEBI O PRODUTO E PASSOU DA DATA DE ENTREGA"
"Dessa vez a culpa foi dos correios,ele se atrasaram deve ser a tal greve deles"
"Aguardo o produto."
"Produto muito diferente do anunciado. Costura mal feita, enchimento torto que deixa a cabeça dos filhotes com uma aparência muito estranha. Um veio até de cor diferente do personagem. "
"Bom dia,
Estou no aguardo do meu produto já vai para 30 diastema nada.
Preciso cancelar a compra"
"Mandaram no prazo correto. Mas não encaminharam a nota fiscal com o valor correto. Mandaram nota baixa e estava descrito apenas um produto, com o valor muito mais barato do que eu realmente paguei."
"Comprei dermacol, na foto do produto aparece 1 mini bisnaga , o q dá a entender q é uma amostra do produto. Recebi uma base s/rótulo ou especificação,dentro de um recipiente redondo e não é Dermacol"
"Comprei o produto chave canivete para Logan. Mas o produto que me enviaram foi a chave comum. Não vou solicitar a troca por o produto vai me atender. Mas faltou a atenção no ato de enviar o produto."
"Comprei e paguei, porém, não tive qualquer retorno do lojista.
Não recomendo."
"Um dos três produtos faturados ( etapa 2) foi enviada errada ( outra composição) do que foi pedido e faturado na nota fiscal. Já solicitei o cancelamento do pedido, só me causou transtorno a compra."
"Eu fiz o cancelamento desse pedido no dia 27/02, até hoje não recebi uma resposta sobre.
Não recebi o produto e não foi estornado o meu cartão 
Estou muito insatisfeita."
"As informações nos sites das lannister são irreais, dizem que os correios tiveram um imprevisto, mas em resposta quando questionados dizem que é transportadora. Devem nos passar informações corretas."
"entrega feita pelos correios... e um dois aparelhos veio com defeito, vou ter que trocar!"
"Entrega no prazo, mas não serviu para o meu Carro uma Zafira Expression automática, não lê praticamente nada."
"Entrei em contato com a empresa 3 vezes e não obtive resposta em nem uma das vezes.
Uma falta de respeito com o cliente.
O prazo já venceu e meu produto não chegou."
"Bom dia! O produto chegou dentro do prazo de entrega, porém chegou quebrado, estou tentando falar na loja, mas ninguém resolve."
"Recebi um pacote com apenas um item do que comprei, estou com o recibo. O outro item não foi enviado e não consigo uma resposta do vendedor"
"Não sei o que aconteceu."
"Recebi um produto diferente do descrito e não consigo trocar pelo site."
"Quero saber dos demais produtos eram 3 itens "
"Meu produto não foi entregue ainda. E o vendedor não me dar nenhuma satisfação eu já mandamei vários email msg de reclamação é até agora nada foi feito "
"Estou preocupado, pois até agora não recebi o produto, e nem fui comunicado o porque está atrasado."
"Além de chegar no último dia, venho quebrado."
"Produto veio errado. O produto usado,sem manual do usuario,Veio completamente solto dentro da caixa,mal embalado. Fone não é original.Enfim, decepção total. Cancelamento solicitado."
"Ainda não recebi o produto é já se passou o prazo solicitado."
"Compramos 2 tonners e veio apenas 1 na caixa tiramos fotos e fizemos video precisamos urgente do reembolso ou do produto "
"Ñão recebi o produto adquirido"
"A entrega não foi feita no prazo, não deram nenhuma satisfação."
"ja reclamei varias vezes e ate hoje não sei onde foi parar o produto que comprei. quero cancelar esta compra e quero meu dinheiro de volta."
"Não recomendo pois recebi um produto diferente do solicitado"
"No status do meu pedido estava "dificuldade na entrega" entrei em contato e disseram que em 48 hs iriam retornar, só que o retorno aconteceu uma semana depois e sem novo prazo para entrega. "
"A mateira não é de couro como estava na descrição, e veio o modelo incorreto."
"O produto que veio não é original HP. Fui enganada"
"Muito demorado para fazer o estorno do dinheiro,para comunicar que o produto não está disponível, fiquei muito chateada, desorganizado.Gostaria que fizessem o meu estorno o quanto antes e que isso nã "
"Não recebi nada até agora"
"Foi pedido 2 itens. So foi entregue 1. Na NF constam os 2."
"Gostei do produto, mas veio com a numeração em algarismo Romano errada. O número 4 está escrito como IIII."
"Falta de compromisso em todos os sentidos, que não pode ocorrer numa venda."
"Produto do Paraguai"
"lannister deveria cancelar essa parceria pois a empresa targaryen é um embuste , é fraudulenta , agiu de má fé . Essa empresa denigre a imagem das lannister.com ... Estou no aguardo do meu reembolso"
"o frete e muito alto"
"Produto mal feito, com rebarbas no alumínio e pintura mal acabada. Não recomendo"
"Comprei o produto mais não foi entregue, toda vez que entro em contato me garantem um retorno de 48 horas de 1 dia mais nunca retornam a entrega ja esta 14 dias em atraso."
"Recebi, antes do prazo de entrega. Porém no mesmo dia que recebi o produto e quebrou ao utilizar em um balão de soco. Inadmissível, o produto é para defesa pessoal, e não pode quebrar. Já mandei foto"
"O produto que foi entregue não foi o mesmo comprado, comprei o Lego movie do PES e chegou na minha casa o Lego Batman do PES, o aplicativo não atualizava o passo a passo do produto depois de pago. :("
"O produto ainda não chegou"
"Comprei uma marca e veio outro bem inferior. Já pedi p devolver. Estou aguardando."
"Simplesmente decepcionada, até o momento não recebi o produto "
"Espelho veio todo arranhado, parece que foi econtrado no lixo."
" Tudo de acordo com o combinado."
"Tinha q manda os produtos através de uma empresa própria de entrega. Os correios atrasam Comprei 27/04 e ontem 25/05 os correios vão entregar e diz q endereço é incompleto. E ai? O frete q paguei?"
"Pelo que entendi, o produto não tinha em estoque. Por que finalizaram a venda?"
"Não recebi e espero receber"
"Não recebi o produto e nem meu dinheiro de volta "
"Não entregou o produto correto"
"Cadê o produto? Nenhum tipo de retorno! Comprei dois, me ligaram dizendo que só tinham um, e que me enviariam. Estou até hoje esperando. NADA!"
"Pessima escolha quero meu dinheiro de volta.
"
"Demorou muito para ser entregue "
"produto em atraso."
"Tenho receio de que o relógio é uma réplica "
"olha nao recebil nada e ainda ja foi descontado na minhanfatura "
"Oi só chegou os tapetes até agora está faltando os espelho e os sapinhos está demorando muito"
"Pedido realizado no dia 18/07 com previsão de entrega para o dia 26/07. Hoje é dia 30/07 e nem a NF do produto foi emitida ainda!
Pior... Sem nenhuma satisfação de lannister nem targaryen...
Péssimo..."
"A entrega está atrasada e não tive qualquer informação pela empresa. "
"Relógio mal acabado e frágil, qualidade muito ruim, parece de barraquinha de camelô. Não vale o preço de jeito nenhum."
"O relógio comprado chegou sem a bateria, péssima escolha de loja. Completamente insatisfeita."
"Pessimo atendimento, fiz a compra e 2 dias depois chegou mensagem avisando que eles nao tinham o produto e que minha compra tinha sido cancelada. Nunca mais compro com esse vendendor."
"Recebi, mas porém, não é original.
Deveriam ser mais transparente, pq no site está constando que é uma peça original. "
"Comprei mas nao veio entrega ainda queria dabe onde esta o produto"
"Produto oferecido no site não tinha em estoque. Só fui avisado dias depois. Paguei o produto.
"
"Ainda recebi o produto,já passou do prazo estimado e paguei o frete"
"Não entregaram o produto e agora estão alegando que há dificuldade na entrega. Uma simples capa de máquina de lavar que deveria ser entregue em um bairro da capital do estado com toda infraestrutura."
"Até este momento ainda não recebi meu suporte de TV. Infelizmente não posso recomendar essa loja para ninguém."
"fiz o pedido de 4 peças e só veio uma"
".Hoje dia 19/07/2017 até o momento não recebi meus produtos que estava previsto entregar até 14/07"
"Comprei um caminhão brutus vermelho de presente para meu filho e recebi uma escova de dentes. Quero que esta situação se resolva o mais rápido possível, pois o aniversário do meu menino já foi e a fru"
"Ainda não recebi o produto "
"Passou do prazo da entrega, tudo bem que foi 1 dia, mas quando comprei produtos anteriores foram entregues antes do prazo,"
"Comprei 14 unidades e recebi somente 9. Ainda não foi resolvida a questão. "
"Não é a primeira vez que tenho problemas de entrega com a loja. Na próxima vez, caso haja concorrência de produtos, não optarei pela Lojas lannister."
